date,split,actual,yhat,yhat_lower,yhat_upper,forecast_stage
1969-11-04,train,43.4,,,,actual_training_history
1969-11-05,train,43.4,,,,actual_training_history
1969-11-06,train,41.4,,,,actual_training_history
1969-11-07,train,41.89,,,,actual_training_history
1969-11-10,train,40.92,,,,actual_training_history
1969-11-11,train,38.35,,,,actual_training_history
1969-11-12,train,35.2,,,,actual_training_history
1969-11-13,train,35.2,,,,actual_training_history
1969-11-14,train,35.2,,,,actual_training_history
1969-11-17,train,35.2,,,,actual_training_history
1969-11-18,train,35.2,,,,actual_training_history
1969-11-19,train,35.2,,,,actual_training_history
1969-11-20,train,35.2,,,,actual_training_history
1969-11-21,train,35.2,,,,actual_training_history
1969-11-24,train,35.2,,,,actual_training_history
1969-11-25,train,35.2,,,,actual_training_history
1969-11-26,train,35.2,,,,actual_training_history
1969-11-27,train,35.2,,,,actual_training_history
1969-11-28,train,35.2,,,,actual_training_history
1969-12-01,train,35.2,,,,actual_training_history
1969-12-02,train,42.5,,,,actual_training_history
1969-12-03,train,42.85,,,,actual_training_history
1969-12-04,train,42.85,,,,actual_training_history
1969-12-05,train,43.5,,,,actual_training_history
1969-12-08,train,41.1,,,,actual_training_history
1969-12-09,train,41.05,,,,actual_training_history
1969-12-10,train,41.05,,,,actual_training_history
1969-12-11,train,37.75,,,,actual_training_history
1969-12-12,train,35.3,,,,actual_training_history
1969-12-15,train,35.3,,,,actual_training_history
1969-12-16,train,35.3,,,,actual_training_history
1969-12-17,train,35.3,,,,actual_training_history
1969-12-18,train,35.3,,,,actual_training_history
1969-12-19,train,35.3,,,,actual_training_history
1969-12-22,train,35.3,,,,actual_training_history
1969-12-23,train,35.3,,,,actual_training_history
1969-12-24,train,35.3,,,,actual_training_history
1969-12-25,train,35.3,,,,actual_training_history
1969-12-26,train,35.3,,,,actual_training_history
1969-12-29,train,35.3,,,,actual_training_history
1969-12-30,train,35.3,,,,actual_training_history
1969-12-31,train,35.3,,,,actual_training_history
1970-01-01,train,35.3,,,,actual_training_history
1970-01-02,train,35.3,,,,actual_training_history
1970-01-05,train,35.88,,,,actual_training_history
1970-01-06,train,35.4,,,,actual_training_history
1970-01-07,train,35.49,,,,actual_training_history
1970-01-08,train,35.49,,,,actual_training_history
1970-01-09,train,35.92,,,,actual_training_history
1970-01-12,train,37.45,,,,actual_training_history
1970-01-13,train,37.45,,,,actual_training_history
1970-01-14,train,37.45,,,,actual_training_history
1970-01-15,train,37.45,,,,actual_training_history
1970-01-16,train,37.45,,,,actual_training_history
1970-01-19,train,37.45,,,,actual_training_history
1970-01-20,train,37.45,,,,actual_training_history
1970-01-21,train,37.45,,,,actual_training_history
1970-01-22,train,37.45,,,,actual_training_history
