trial_number,sequence_length,hidden_size,attention_heads,dropout,learning_rate,weight_decay,batch_size,grn_depth,status,validation_quantile_loss,epochs_completed,parameter_count,runtime_seconds
57,20,192,2,0.33358672852203924,0.002389603477165818,1.7427087925245143e-05,128,2,completed,0.015674707169334095,37,1035363,13.379
58,120,192,8,0.30288410501548313,0.0008252434184650373,2.4488753338411527e-07,128,3,completed,0.016150867152545188,31,1146915,31.16
59,20,192,2,0.19713095123037985,0.0010900815221436368,7.603668600633319e-06,128,3,completed,0.015058419874144925,32,1146915,13.699
60,20,192,2,0.1352719267650463,0.002383894510274881,1.7259475041408273e-08,128,2,completed,0.017610487942066457,21,1035363,8.115
61,20,128,2,0.37535136192906365,0.0016143535726162866,3.2973091509108384e-06,32,3,completed,0.014738050120120699,23,527395,26.25
62,20,192,2,0.3374576704961476,0.0029905441404570183,2.1822897394610553e-06,128,3,completed,0.01608989532623026,26,1146915,10.776
63,20,256,2,0.39703559069463695,0.0017596149676242462,5.046412023480002e-06,32,3,completed,0.016040229915895245,35,2004003,41.156
64,20,64,2,0.06832497941768614,0.0013944943751912297,1.5821721545901705e-06,64,3,completed,0.017760827918263042,15,145443,8.9
65,20,256,2,0.10586384208816765,0.000646479644862968,8.974470391512964e-07,128,3,completed,0.015848965280585818,29,2004003,10.903
66,252,128,8,0.35325578136725083,0.0010720380264248926,1.5420391562297236e-05,32,3,completed,0.015001628533795927,28,527395,40.815
67,20,192,4,0.15449148981342137,0.002008134530471939,2.913022351245559e-06,128,3,completed,0.015613007359206676,43,1146915,18.136
68,60,256,2,0.383818875167965,0.0012663413880950214,5.127648761151216e-07,64,2,completed,0.016074394259382698,27,1806115,21.548
69,20,128,2,0.17434617252912557,0.00032220378776035306,2.984947158109488e-07,32,3,completed,0.02355636577263023,19,527395,19.942
