date,split,horizon,gold_price,actual_target,prediction,naive_prediction,predicted_log_return,error,interval_type,origin_index,origin_date,horizon_trading_days,raw_gold_price_anchor,actual_gold_price,predicted_log_return_p10,predicted_log_return_p50,predicted_log_return_p90,forecast_price_p10,forecast_price_p50,forecast_price_p90,p10,p50,p90,interval_width_price
2023-04-11,test,10,1836.0,2005.0,1858.3738074302673,1836.0,0.012112468481063843,-146.62619256973267,native,4506,2023-04-11,10,1836.0,2005.0,-0.013166368007659912,0.012112468481063843,0.028175555169582367,1811.984899520874,1858.3738074302673,1888.466003894806,1811.984899520874,1858.3738074302673,1888.466003894806,76.48110437393188
2023-04-11,test,20,1836.0,1954.0999755859375,1849.6797037124634,1836.0,0.007423244416713715,-104.42027187347412,native,4506,2023-04-11,20,1836.0,1954.0999755859375,-0.01560404896736145,0.007423244416713715,0.022060520946979523,1807.5733909606934,1849.6797037124634,1876.953314781189,1807.5733909606934,1849.6797037124634,1876.953314781189,69.3799238204956
2023-04-11,test,30,1836.0,1980.0,1860.3363990783691,1836.0,0.013168003410100937,-119.66360092163086,native,4506,2023-04-11,30,1836.0,1980.0,-0.012622304260730743,0.013168003410100937,0.02984866499900818,1812.9710104465485,1860.3363990783691,1891.6282124519348,1812.9710104465485,1860.3363990783691,1891.6282124519348,78.65720200538635
2023-04-12,test,1,2140.699951171875,2053.0,2181.5001946560515,2140.699951171875,0.01887991651892662,128.50019465605146,native,4507,2023-04-12,1,2140.699951171875,2053.0,0.0017997846007347107,0.01887991651892662,0.0322689525783062,2144.5561472132395,2181.5001946560515,2210.9046145399916,2144.5561472132395,2181.5001946560515,2210.9046145399916,66.34846732675214
2023-04-12,test,5,2140.699951171875,2009.699951171875,2182.361210170813,2140.699951171875,0.019274525344371796,172.66125899893814,native,4507,2023-04-12,5,2140.699951171875,2009.699951171875,-0.0033417753875255585,0.019274525344371796,0.03869616240262985,2133.5580392857228,2182.361210170813,2225.160367267061,2133.5580392857228,2182.361210170813,2225.160367267061,91.60232798133802
2023-04-12,test,10,2140.699951171875,2009.800048828125,2178.1204408097256,2140.699951171875,0.01732952520251274,168.32039198160055,native,4507,2023-04-12,10,2140.699951171875,2009.800048828125,-0.004734475165605545,0.01732952520251274,0.034695904701948166,2130.5888882737927,2178.1204408097256,2216.277157406701,2130.5888882737927,2178.1204408097256,2216.277157406701,85.68826913290832
2023-04-12,test,20,2140.699951171875,1834.0999755859375,2170.9768701799912,2140.699951171875,0.014044355601072311,336.87689459405374,native,4507,2023-04-12,20,2140.699951171875,1834.0999755859375,-0.006078973412513733,0.014044355601072311,0.03052063286304474,2127.7262796380965,2170.9768701799912,2207.04280428958,2127.7262796380965,2170.9768701799912,2207.04280428958,79.31652465148363
2023-04-12,test,30,2140.699951171875,1987.9000244140625,2182.304557697702,2140.699951171875,0.01924866810441017,194.40453328363947,native,4507,2023-04-12,30,2140.699951171875,1987.9000244140625,-0.003583282232284546,0.01924866810441017,0.037362560629844666,2133.043063201316,2182.304557697702,2222.1950441249355,2133.043063201316,2182.304557697702,2222.1950441249355,89.1519809236197
2023-04-13,test,1,2053.0,2053.0,2070.5079720020294,2053.0,0.008491940796375275,17.50797200202942,native,4508,2023-04-13,1,2053.0,2053.0,-0.013199817389249802,0.008491940796375275,0.019802119582891464,2026.0788437724113,2070.5079720020294,2094.058981895447,2026.0788437724113,2070.5079720020294,2094.058981895447,67.98013812303543
2023-04-13,test,5,2053.0,2014.5,2070.8425270318985,2053.0,0.00865335762500763,56.3425270318985,native,4508,2023-04-13,5,2053.0,2014.5,-0.019028350710868835,0.00865335762500763,0.023744579404592514,2014.3041954040527,2070.8425270318985,2102.331081390381,2014.3041954040527,2070.8425270318985,2102.331081390381,88.02688598632812
