Date, GLD Close, NAV per GLD in Gold, NAV/share at 10.30 a.m. NYT, Indicative Price of GLD at 4.15 p.m. NYT, Mid point of bid/ask spread at 4.15 p.m. NYT#, Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT, Daily Share Volume, Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT, Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT, Total Net Asset Value in the Trust
12-Sep-11,176.67,97.34639,178.5332853,175.876,$176.69 ,0.46%,22358300,39928871.72,1241.92,73216500307
13-Sep-11,178.54,97.34519,177.1682513,179.324,$178.49 ,-0.47%,22736000,39909402.68,1241.31,72621266208
14-Sep-11,177.21,97.34411,177.0202657,177.116,$177.17 ,0.03%,22651400,39909402.68,1241.31,72560606910
15-Sep-11,174.39,97.34264,173.4645877,173.847,$174.37 ,0.30%,20997782,39909402.68,1241.31,71103134492
16-Sep-11,176.03,97.34172,174.631039,175.799,$176.01 ,0.12%,22883600,40250098.7,1251.91,72192471523
19-Sep-11,173.27,97.33852,174.6252978,172.786,$173.29 ,0.29%,22978400,40250098.7,1251.91,72190098098
20-Sep-11,175.78,97.33752,175.1101966,175.48,$175.76 ,0.16%,23150000,40259832.45,1252.21,72408066281
21-Sep-11,173.59,97.33637,174.5241026,174.402,$173.62 ,-0.45%,23185300,40259832.45,1252.21,72165716421
22-Sep-11,169.05,97.33418,167.6094529,169.215,$169.19 ,-0.02%,31307137,40259832.45,1252.21,69306508785
23-Sep-11,159.8,97.33254,164.3946538,159.82,$159.88 ,0.04%,23534400,40259832.45,1252.21,67977189351
26-Sep-11,157.58,97.32745,155.5292622,156.196,$157.59 ,0.89%,23987700,40084643.04,1246.76,64031397228
27-Sep-11,160.63,97.32772,161.4666795,160.628,$160.61 ,-0.01%,24334000,39928918.69,1241.92,66217485243
28-Sep-11,156.2,97.3263,159.9071053,156.476,$156.25 ,-0.14%,24545400,39928918.69,1241.92,65577903874
29-Sep-11,157.7,97.32453,156.9844691,157.08,$157.68 ,0.38%,24505700,39607747.74,1231.93,63861282038
30-Sep-11,158.08,97.32364,157.6642905,157.932,$158.01 ,0.05%,24632800,39607747.74,1231.93,64137833385
3-Oct-11,160.99,97.32136,161.1155118,160.569,$160.92 ,0.22%,24698100,39617479.87,1232.23,65557901757
4-Oct-11,157.63,97.31984,159.4098967,155.712,$157.66 ,1.25%,24851300,39529892.02,1229.51,64720418048
5-Oct-11,159.49,97.3182,157.3635272,159.29,$159.42 ,0.08%,24839600,39529892.02,1229.51,63889592061
6-Oct-11,160.49,97.31764,159.1143451,160.854,$160.57 ,-0.18%,24692000,39529892.02,1229.51,64600424094
7-Oct-11,159.18,97.31706,160.7677805,159.352,$159.19 ,-0.10%,24708800,39529892.02,1229.51,65271718899
10-Oct-11,163.24,97.31414,161.6387783,162.768,$163.29 ,0.32%,24685700,39481234.95,1227.99,65544524612
11-Oct-11,162.1,97.31313,161.8317383,161.832,$162.16 ,0.20%,24846500,39481234.95,1227.99,65622769886
12-Oct-11,163.26,97.31265,163.6798717,163.286,$163.21 ,-0.05%,24595700,39481234.95,1227.99,66372187963
13-Oct-11,162.3,97.31077,161.146638,162.378,$162.27 ,-0.07%,24450600,39465715.88,1227.51,65344961694
14-Oct-11,163.4,97.30991,163.2860266,163.597,$163.41 ,-0.11%,24212600,39465715.88,1227.51,66212483801
17-Oct-11,162.62,97.30676,163.669973,162.583,$162.62 ,0.02%,23960900,39465715.88,1227.51,66368174062
18-Oct-11,161.84,97.30509,158.7046097,160.875,$161.87 ,0.62%,23909400,39465715.88,1227.51,64354719214
